,GAN,GAN_Feat,VGG,D_Fake,D_real
100,0.14254149794578552,5.2789764404296875,6.137599468231201,0.8643803596496582,0.9676065444946289
200,0.2852462828159332,7.459053039550781,5.622628211975098,0.7746108770370483,0.6416572332382202
300,0.7567880749702454,9.149023056030273,6.8183488845825195,0.7392877340316772,0.8750343918800354
400,1.276608943939209,10.789249420166016,5.737074851989746,0.48397135734558105,0.4927349388599396
500,0.4906313419342041,8.185702323913574,5.736679553985596,0.7331585884094238,0.5650525093078613
600,0.018839098513126373,9.629695892333984,6.53134822845459,1.240868091583252,0.4039481580257416
700,0.25590306520462036,8.51366901397705,6.719036102294922,0.915297269821167,0.7793546915054321
800,0.6719008088111877,7.3594136238098145,5.320835590362549,0.649145245552063,0.9255237579345703
900,0.8775942325592041,6.745662689208984,5.058698654174805,0.6167735457420349,1.2249350547790527
1000,0.7652668356895447,7.221714019775391,4.505470275878906,0.604529619216919,0.8184488415718079
1100,1.552772045135498,6.719120979309082,4.1832170486450195,0.09101797640323639,2.0296688079833984
1200,0.5896387696266174,7.149959564208984,4.734440803527832,0.8846616148948669,0.7583075761795044
1300,0.4491945505142212,7.144063472747803,4.9734110832214355,0.8951504826545715,0.8156879544258118
1400,0.1338742971420288,6.096310138702393,4.415013313293457,0.6886671781539917,0.887535810470581
1500,0.38716354966163635,7.804450035095215,4.96054220199585,0.8465850353240967,0.3432118594646454
1600,1.015001654624939,8.071968078613281,4.510411262512207,0.2933586835861206,1.6068781614303589
1700,0.5858783721923828,6.747349262237549,4.82766056060791,0.5596039891242981,0.8507751226425171
1800,0.9322463274002075,6.6396026611328125,4.241375923156738,0.44338688254356384,1.252665400505066
1900,0.14057444036006927,7.371936321258545,4.966935157775879,1.2580112218856812,0.39093783497810364
2000,0.5180404186248779,6.964669704437256,4.532374382019043,0.7022801041603088,0.8699566721916199
2100,1.29538893699646,7.73432731628418,5.133471965789795,0.24405136704444885,1.30587899684906
2200,0.8207789063453674,6.7463698387146,4.048815727233887,0.6995425224304199,1.0966169834136963
