,GAN,GAN_Feat,VGG,D_Fake,D_real
100,7.457324504852295,4.267121315002441,3.179543972015381,0.9921478033065796,0.9580989480018616
200,5.788780212402344,2.9460806846618652,3.0778074264526367,1.2874027490615845,0.7860250473022461
300,6.135992050170898,3.440232753753662,2.778254747390747,1.2943625450134277,0.439719021320343
400,6.820662975311279,3.5302438735961914,2.6950535774230957,0.6687237024307251,0.7689619660377502
500,7.104846477508545,4.343912124633789,2.611267566680908,1.0851383209228516,0.48097413778305054
600,6.86878776550293,4.054563999176025,2.4107160568237305,1.064929723739624,0.6083415746688843
700,7.157237529754639,3.80537486076355,2.1989355087280273,0.4482678771018982,1.5162079334259033
800,5.869838714599609,3.654085159301758,2.375077962875366,1.3177601099014282,0.30901384353637695
900,5.858500003814697,3.473050832748413,2.189735174179077,0.8701669573783875,0.8575402498245239
1000,7.553878307342529,4.481667518615723,2.5730838775634766,0.9801188707351685,0.785050630569458
1100,8.03550910949707,4.411473274230957,3.039409637451172,0.7458153963088989,0.9313304424285889
1200,6.0947065353393555,3.4068384170532227,2.0718588829040527,0.4871366024017334,1.2220113277435303
1300,8.34081745147705,4.489455223083496,2.385190486907959,0.3563504219055176,1.681546926498413
1400,5.964696884155273,3.047476291656494,1.9768716096878052,0.8380239605903625,1.6757595539093018
1500,5.5453386306762695,3.661789894104004,2.093601703643799,1.4513750076293945,0.32332900166511536
1600,6.3857622146606445,3.8167765140533447,2.192782163619995,0.9761933088302612,0.656638503074646
1700,5.917581558227539,3.6666884422302246,1.866426706314087,1.0082319974899292,0.4567197859287262
1800,6.031152725219727,3.9105536937713623,2.0131311416625977,1.1724531650543213,0.44025474786758423
1900,7.234552383422852,4.541901111602783,2.2878830432891846,0.9278867840766907,0.49489641189575195
2000,7.569118499755859,3.9933502674102783,2.2325401306152344,0.2214861363172531,1.5420905351638794
2100,4.840743541717529,2.5894527435302734,1.6998445987701416,1.1261836290359497,1.0318272113800049
2200,4.7324299812316895,2.8084049224853516,1.6867107152938843,1.1314482688903809,0.5587397217750549
2300,6.868497371673584,3.8178656101226807,2.0594773292541504,0.13721610605716705,0.82796311378479
2400,4.507586479187012,3.237562656402588,1.7657535076141357,1.289639949798584,0.4608081877231598
2500,5.120282173156738,3.035499095916748,1.6198780536651611,0.16569234430789948,0.8893727660179138
2600,4.91823673248291,3.648878574371338,2.0307130813598633,0.8087181448936462,0.6318716406822205
2700,5.760607719421387,3.397952079772949,1.9586410522460938,0.38344866037368774,0.7202357649803162
2800,5.061203956604004,3.199256658554077,1.6641161441802979,0.27671700716018677,0.5029290318489075
2900,4.333225250244141,3.1695237159729004,1.7149627208709717,1.2015001773834229,0.027472123503684998
3000,6.288858413696289,3.4815986156463623,1.8096199035644531,1.0363869667053223,1.1119704246520996
3100,5.527228355407715,3.0633704662323,1.716049313545227,0.5305138826370239,0.9205489158630371
3200,5.4441986083984375,2.8822267055511475,1.7496552467346191,0.6742496490478516,0.8545404672622681
3300,6.332108020782471,3.3103840351104736,1.808852195739746,0.3094165027141571,0.8871941566467285
3400,6.115333557128906,3.261617660522461,1.5268383026123047,0.7053672671318054,0.8352184295654297
3500,5.471368789672852,3.123079299926758,1.8007864952087402,0.6981244087219238,0.39219892024993896
3600,6.286748886108398,3.8503453731536865,2.6392781734466553,1.0423117876052856,0.4656933546066284
3700,5.540973663330078,3.842149019241333,2.095695734024048,1.1925992965698242,0.40448158979415894
3800,5.432388782501221,2.4269814491271973,1.4048935174942017,0.23432686924934387,1.4065945148468018
3900,6.747994422912598,3.7450692653656006,1.8246805667877197,0.14494267106056213,0.6377531886100769
4000,4.855184555053711,2.8632497787475586,1.459913730621338,0.08004776388406754,0.9438259601593018
4100,6.143015384674072,4.038878917694092,2.013861656188965,0.854833722114563,0.04631204530596733
4200,6.3806376457214355,3.296698570251465,1.6748148202896118,0.4322330951690674,0.679144024848938
4300,5.252966403961182,2.822148323059082,1.665797472000122,0.01774141937494278,0.927682638168335
4400,5.823668956756592,4.05258846282959,2.0877387523651123,0.49053606390953064,0.09029106050729752
4500,4.646598815917969,3.277233362197876,1.7628958225250244,1.3488785028457642,0.3512642979621887
4600,6.305059432983398,3.2968716621398926,1.8093633651733398,0.9765095710754395,0.9505771398544312
4700,6.525175094604492,3.7275118827819824,2.1224565505981445,1.137995958328247,0.20924685895442963
4800,7.147440433502197,3.6721649169921875,1.8147187232971191,0.23168545961380005,0.8051834106445312
4900,4.660654067993164,3.1260483264923096,1.6470098495483398,0.7230134010314941,0.13005220890045166
5000,5.020362854003906,3.4632790088653564,1.8607304096221924,0.855747640132904,0.0639885812997818
5100,6.416825771331787,3.7374696731567383,2.0132808685302734,0.12450571358203888,0.24573537707328796
5200,7.264001846313477,3.7629778385162354,1.8565914630889893,0.03531188517808914,1.0025746822357178
5300,5.766578674316406,2.7241153717041016,1.247145414352417,0.025257408618927002,1.7120789289474487
5400,4.951371669769287,3.2048377990722656,1.484613299369812,0.7690331935882568,0.05636501684784889
5500,5.551175594329834,3.418788433074951,1.550295352935791,0.8328485488891602,0.4766697883605957
5600,6.060919761657715,3.636639356613159,1.9615271091461182,0.17741839587688446,0.10412103682756424
5700,5.357688903808594,2.521003246307373,1.570635437965393,0.42573297023773193,1.4528306722640991
5800,5.223464488983154,2.939164161682129,1.3806599378585815,1.1262465715408325,0.16491180658340454
5900,4.758935451507568,3.1565730571746826,1.7910857200622559,0.999807596206665,0.8071737289428711
6000,5.214900016784668,2.962966203689575,1.3931217193603516,0.2200077921152115,0.273276686668396
6100,5.50877571105957,3.595595598220825,2.2323389053344727,1.2196991443634033,0.05322326719760895
6200,6.142758846282959,3.2772669792175293,1.7345261573791504,0.19181638956069946,0.41411492228507996
6300,5.139108657836914,3.121452569961548,1.7205148935317993,1.5007330179214478,0.4810638129711151
6400,5.969644546508789,2.8530101776123047,1.4804933071136475,0.03744761273264885,0.6436182856559753
6500,7.827664375305176,4.097253799438477,1.9042918682098389,0.07517591118812561,0.3741757273674011
6600,5.367399215698242,3.4213085174560547,1.615002155303955,0.034449148923158646,1.5898839235305786
6700,4.978151321411133,2.7882301807403564,1.2210179567337036,0.25133565068244934,1.2660205364227295
6800,4.590025424957275,2.764605760574341,1.5276219844818115,1.0405288934707642,0.42774879932403564
6900,4.861955165863037,2.65437912940979,1.618955135345459,0.9499829411506653,0.8377004265785217
7000,5.805109024047852,2.5895211696624756,1.5027081966400146,0.5268758535385132,0.6674835681915283
7100,6.392362594604492,2.9134440422058105,1.4319884777069092,1.4995181560516357,0.4507227838039398
7200,6.434851169586182,2.405735492706299,1.3618135452270508,0.5456898212432861,2.4354443550109863
