epoch,iteration,ssim,psnr,fid
2,1000,0.6050362,9.38199234008789,214.80376262726534
3,2000,0.63246423,8.895622253417969,188.42498688965316
5,3000,0.693223,10.994244575500488,137.79513303347312
6,4000,0.6497353,9.077695846557617,126.94739106181626
8,5000,0.70045584,11.03855037689209,128.71511589583972
9,6000,0.7499748,12.100242614746094,132.74204934034142
11,7000,0.5752294,7.868729591369629,111.60488678245449
12,8000,0.6705614,9.907824516296387,116.93690170184212
14,9000,0.7967815,14.331445693969727,108.09600646555681
15,10000,0.66939425,10.086149215698242,103.04334539250317
17,11000,0.61447865,8.744505882263184,104.22255413726754
18,12000,0.64084107,9.2858304977417,97.56206985182715
20,13000,0.7326598,11.68806266784668,102.13482147421834
21,14000,0.790488,12.766485214233398,103.65246395580618
23,15000,0.67175883,10.127737045288086,101.11808688332525
24,16000,0.7268738,11.063169479370117,105.95861288504183
26,17000,0.84016466,15.542725563049316,78.45965419424701
27,18000,0.77228737,11.907636642456055,82.70405711449627
29,19000,0.84486073,15.468358993530273,82.2174247872445
30,20000,0.77584106,13.153940200805664,71.27743890108295
32,21000,0.7760814,12.526937484741211,86.55688119967516
33,22000,0.90280676,18.510583877563477,79.02841599158029
35,23000,0.6665041,9.445669174194336,90.68421412952284
36,24000,0.69777775,10.565470695495605,78.80324785811942
38,25000,0.7908041,13.26668643951416,93.4273734726004
39,26000,0.82052106,14.91875171661377,69.31349345121761
41,27000,0.8621979,16.356090545654297,72.38244234943738
42,28000,0.7806039,12.433025360107422,94.52647312797397
44,29000,0.8297415,14.827977180480957,64.11460389704388
45,30000,0.84832925,15.786805152893066,62.95185843550709
47,31000,0.791795,13.808490753173828,80.51268934571081
48,32000,0.783864,13.404723167419434,64.23594177012055
50,33000,0.8264931,14.973209381103516,84.96327421137948
