epoch,iteration,ssim,psnr,fid
14,9000,0.90321845,18.537809371948242,110.73835327079674
15,10000,0.931926,20.740188598632812,92.45132743133175
17,11000,0.89050514,18.364242553710938,105.87542123585831
18,12000,0.93170136,20.99615478515625,72.24393943497147
20,13000,0.9335994,20.722095489501953,84.60567703024373
21,14000,0.91481405,19.23246192932129,101.95201446883446
23,15000,0.9109659,19.011537551879883,83.92580501780597
24,16000,0.93714213,20.352745056152344,85.6324062269929
26,17000,0.9207938,19.62384033203125,69.19454455719864
27,18000,0.9400792,21.814138412475586,67.30732849386268
29,19000,0.9223249,18.813039779663086,87.71841983935381
30,20000,0.94733685,22.81536293029785,97.57777880773399
32,21000,0.9419233,22.452537536621094,72.98114517387641
33,22000,0.8930011,17.443527221679688,86.95497706956792
35,23000,0.92856556,20.349040985107422,93.21565565540705
36,24000,0.88754016,18.192745208740234,78.2456994977324
38,25000,0.92149615,20.19977378845215,70.76662479308865
39,26000,0.9423177,22.575653076171875,73.42797830964741
41,27000,0.939131,21.907575607299805,79.63401255820463
42,28000,0.8946597,17.363624572753906,83.79275653146533
44,29000,0.95248,23.504323959350586,62.79845296137442
45,30000,0.89500356,17.37716293334961,76.7406241097435
47,31000,0.9290988,20.58407211303711,92.29227185375416
48,32000,0.9363361,21.29726791381836,74.27112906065193
50,33000,0.92657596,21.159324645996094,83.1393787930808
2,1000,nan,0.4803656339645386,694.4378705075093
3,2000,nan,0.5471102595329285,683.5684201660656
5,3000,nan,0.5066482424736023,720.6008699328754
6,4000,nan,0.4726046621799469,688.7529141071287
8,5000,nan,0.46673375368118286,703.0218666104756
9,6000,nan,0.46651986241340637,683.2922363446378
11,7000,nan,0.47753867506980896,743.5021639699382
12,8000,nan,0.5035112500190735,692.9998748131125
14,9000,nan,0.47165441513061523,711.2485915627626
15,10000,nan,0.4606654644012451,663.2779479693235
17,11000,nan,0.4846636652946472,697.5478564366405
18,12000,nan,0.4663226306438446,690.5040861066209
20,13000,nan,0.562187135219574,679.8434392688592
21,14000,nan,0.49303504824638367,702.1309990332401
23,15000,nan,0.4629010558128357,686.0100947093082
24,16000,nan,0.544537365436554,665.5323156240598
26,17000,nan,0.48939403891563416,669.9775712926246
27,18000,nan,0.4529772698879242,686.8900942009253
29,19000,nan,0.46486523747444153,690.6597242993007
30,20000,nan,0.47699373960494995,685.5869309289388
32,21000,nan,0.4824688732624054,702.247026826665
33,22000,nan,0.48633211851119995,678.0323275798787
35,23000,nan,0.4823336601257324,658.5091258849616
36,24000,nan,0.48368924856185913,698.2262934811693
38,25000,nan,0.4902053475379944,690.7554962169814
39,26000,nan,0.4808593988418579,657.4844785268655
41,27000,nan,0.49505406618118286,696.7325846268299
42,28000,nan,0.5637457370758057,675.5333070391748
44,29000,nan,0.4655434191226959,687.826999519749
45,30000,nan,0.48052534461021423,654.7828119970186
47,31000,nan,0.41925907135009766,690.6163363952184
48,32000,nan,0.4889477491378784,675.0207271447625
50,33000,nan,0.5566542744636536,675.8587205982888
2,1000,0.8627277,15.570639610290527,179.97972515241685
3,2000,0.8753864,16.474069595336914,157.96043477864495
5,3000,0.8870597,16.634946823120117,114.77688712228527
6,4000,0.9201851,20.421016693115234,109.69984648835997
8,5000,0.89918953,17.438861846923828,118.13007081560326
9,6000,0.9276995,19.72650718688965,96.49479311288258
11,7000,0.92362237,19.847488403320312,97.40357096890796
12,8000,0.93044657,21.82712173461914,92.90298318167923
14,9000,0.91087,18.85587501525879,111.19121732966073
15,10000,0.8936581,16.673717498779297,102.96799130267186
17,11000,0.9348009,21.268770217895508,96.272353366037
18,12000,0.935378,20.5645751953125,77.5653488246523
20,13000,0.940913,21.697446823120117,85.65220412083347
21,14000,0.90514874,19.15174102783203,72.34360866447021
23,15000,0.90551376,18.134580612182617,80.59999461254057
24,16000,0.93697834,20.609312057495117,79.39265662321492
26,17000,0.91451836,19.01161003112793,76.05319655663362
27,18000,0.9148132,19.6187744140625,86.02121418251312
29,19000,0.9364446,21.33224868774414,77.46960135624337
30,20000,0.91473365,18.984317779541016,82.45189962475824
32,21000,0.92367584,19.77047348022461,74.55715953310911
33,22000,0.9467287,22.9222412109375,81.40590406104761
35,23000,0.8910052,17.08974838256836,77.72158672560792
36,24000,0.92272204,19.092771530151367,93.38556171506403
38,25000,0.9223501,19.589187622070312,78.1398817889739
39,26000,0.9145736,19.040199279785156,83.45138543332033
41,27000,0.91692,20.146808624267578,81.38405879450714
42,28000,0.9060192,18.31638526916504,83.70618610517505
44,29000,0.9406469,21.464447021484375,70.66869710943445
45,30000,0.91279024,18.836416244506836,85.62829381361671
47,31000,0.9511736,23.119260787963867,87.11742527159305
48,32000,0.9555654,23.927494049072266,69.43025442271636
50,33000,0.94778156,22.789945602416992,56.139779346039376
