epoch,iteration,ssim,psnr,fid
2,1000,0.88124514,17.793405532836914,206.51623509340055
3,2000,0.89083576,16.39437484741211,146.0520687566752
5,3000,0.89515543,17.491031646728516,108.20932848857029
6,4000,0.9178311,19.074329376220703,110.91507687072168
8,5000,0.9234576,20.00455665588379,117.56675210148096
9,6000,0.8991099,18.089616775512695,88.78231813889286
11,7000,0.9084198,18.167621612548828,80.39761166156376
12,8000,0.9009883,18.223875045776367,106.69018389193934
14,9000,0.8947783,18.169588088989258,99.13051899177947
15,10000,0.9406497,21.567399978637695,107.00378771850689
17,11000,0.91445035,19.434688568115234,83.33944951330682
18,12000,0.92130727,19.901105880737305,86.22541263773616
20,13000,0.9143617,19.5433349609375,93.30927485729063
21,14000,0.90392977,18.321455001831055,85.58852566279401
23,15000,0.9450774,22.124534606933594,96.12434181334584
24,16000,0.9040223,17.80760955810547,89.42666686085246
26,17000,0.9214243,19.688976287841797,78.98351255374578
27,18000,0.91053957,18.606468200683594,68.67680619415668
29,19000,0.93094677,20.92698097229004,70.96603160798661
30,20000,0.91589755,19.207834243774414,76.91180019845754
32,21000,0.94318455,21.901309967041016,88.00124362788074
33,22000,0.89756227,17.229387283325195,73.53354566622691
35,23000,0.90781975,18.62078094482422,77.79991599521522
36,24000,0.94204026,22.23101043701172,88.5642521614156
38,25000,0.9403251,21.57573890686035,79.52641350137151
39,26000,0.93629885,21.331546783447266,82.65248616021
41,27000,0.94292575,22.469968795776367,70.70478007950885
42,28000,0.9187334,19.617107391357422,75.75770434486365
44,29000,0.9278043,19.769081115722656,89.12722692921814
45,30000,0.94517964,23.261966705322266,80.12860413242666
47,31000,0.9385671,20.785030364990234,73.15573448737423
48,32000,0.9237468,19.624637603759766,67.17015525453672
50,33000,0.9312033,20.53961753845215,62.92681100065899
2,1000,0.8730493,16.54289436340332,137.31752602762043
3,2000,0.91018605,20.03726577758789,152.2604984359677
5,3000,0.9152464,19.25946807861328,141.6233384049038
6,4000,0.9205268,19.625375747680664,113.82096948446573
8,5000,0.8868676,16.689266204833984,125.24398467270143
9,6000,0.87754697,17.10599708557129,99.27762894458002
11,7000,0.89921856,17.788597106933594,84.62095765354607
12,8000,0.9250698,19.785783767700195,106.80347329038148
